ticker,period,strategy,alpha,beta,omega,gamma,lambda,sigma_eps,alpha_init,beta_init,omega_init,gamma_init,lambda_init,two_norm_error,aic,bic,aic_init,bic_init,loss,loss_init,calibration_time_sec,n_options,n_returns,mean_iv_mse,mean_iv_mae,status
AAPL,Period1,best1bin,1.4952561816745509e-06,0.9899866853185478,9.808524484926073e-06,0.4998622675235028,0.3000971663185613,0.29997954992233344,1.5e-06,0.8888586569325905,1e-05,0.25,0.3,1.1489100195109347,,,-4.000093004043801,17.54582887902134,-5235.140464829376,2981.096610838444,3020.1031749248505,15872,268,0.1628806783898838,0.3363343063434816,ok
AAPL,Period2,best1bin,1.441696918741702e-06,0.9897072594561968,3.637020344291466e-06,0.49865661579540366,0.30022063129770077,0.29998652471874343,1.5e-06,0.9772730306271579,1.236957937589069e-06,0.25,0.3,1.1481773849753865,-12.682841931439462,36.05592055770674,,,84239.64778587254,-2697.7414950075618,18010.479849100113,126469,1936,0.3458903081727524,0.5545447439410756,ok
AAPL,Period1,best1bin,1.10315408566029e-06,0.9815856127767342,8.149395913786707e-06,0.25173632137043683,0.39684349253670526,0.29998636067263595,1.5e-06,0.8888586569325905,1e-05,0.25,0.3,1.0882859221471883,-24.380453998411056,14.143204447982683,-4.012954434898873,17.532967448166268,29215998.15438721,3000.328967432846,892.323308467865,16395,268,320.9493825339745,3.5282699173744434,ok
AAPL,Period2,best1bin,1.2011187676464664e-06,0.9566719933286945,8.075729749374447e-06,0.2615908707437816,0.37479335083377124,0.2999998197392596,1.5e-06,0.9772730306271579,1.236957937589069e-06,0.25,0.3,1.0602457933761653,-29.146732955830664,19.809082437139388,,,316668637.61391735,-2736.3100227332184,8546.589125871658,132080,1936,431.78387087939507,4.816066480864674,ok
AAPL,Period3,best1bin,1.114361910940098e-06,0.8783100066948314,5.499067815490905e-06,0.29243495111694123,0.5790857474106068,0.29999914841375347,1.5e-06,0.8811680267283792,1e-05,0.25,0.3,1.0919189399312685,-24.892234028230135,21.152861747476962,,,37735694.72336584,-959.7991564417555,3729.2944843769073,73793,904,92.25921123998131,1.3434695398533092,ok
