set_id,omega,alpha,beta,gamma,lambda
1,6.31909415336219e-07,1.19048113333955e-06,0.776803218247348,0,0.427531080466979
2,9.99368300495764e-07,1.16738684480292e-06,0.806590460513362,0,0.577784738036694
3,6.46356059020013e-07,1.28270275615113e-06,0.79961798982063,0,0.53602690171111
4,8.37544008290517e-07,1.29534299881923e-06,0.806324258632343,0,0.588018490443644
5,2.17507844351493e-07,1.20337883250919e-06,0.807355223853615,0,0.586248916631654
6,5.51466520601427e-07,1.20901225643572e-06,0.840481583503815,0,0.400832585964272
