S0,m,r,T,callput,alpha,beta,omega,gamma,lambda,sigma,V
112.32887539794,0.856175878901548,0.000198412698412698,0.83777007510025,1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.497424781322479,27.9128420387164
112.32887539794,0.856175878901548,0.000198412698412698,0.83777007510025,-1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,3.94430452610506e-31,0.0011592129993234
100.258231941524,1.04387088460587,0.000198412698412698,0.198002797314459,1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,0.499932885169983,7.03584345633808
100.258231941524,1.04387088460587,0.000198412698412698,0.198002797314459,-1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,0.350888133049011,4.39841732429534
87.0239129164999,1.12486305771315,0.000198412698412698,0.629166651563623,1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.192260324954987,1.76958174197811
87.0239129164999,1.12486305771315,0.000198412698412698,0.629166651563623,-1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.543181151151657,10.8660718609169
103.00748576648,0.811074040339709,0.000198412698412698,0.465836150348455,1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,0.758200526237488,30.2808092005912
103.00748576648,0.811074040339709,0.000198412698412698,0.465836150348455,-1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,3.94430452610506e-31,0
106.358705851455,0.958939247314382,0.000198412698412698,0.983403955852338,1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,0.323596283793449,15.5773619880723
106.358705851455,0.958939247314382,0.000198412698412698,0.983403955852338,-1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,3.94430452610506e-31,0.0909452192222931
106.512330455677,1.18583586707636,0.000198412698412698,0.201869476887049,1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,0.254103541374207,0.38200086494391
106.512330455677,1.18583586707636,0.000198412698412698,0.201869476887049,-1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,1,19.7938112845548
105.389741908544,1.08957761873195,0.000198412698412698,0.782317774855402,1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.205899477005005,4.13107731786161
105.389741908544,1.08957761873195,0.000198412698412698,0.782317774855402,-1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.353078603744507,9.44056211894204
94.2838517040503,1.14088857876314,0.000198412698412698,0.581950859952081,1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,0.18166309595108,1.26480788244434
94.2838517040503,1.14088857876314,0.000198412698412698,0.581950859952081,-1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,0.633561134338379,13.2835178668981
104.706345690121,0.90865664052943,0.000198412698412698,0.817635132038453,1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.427996098995209,20.5616911320027
104.706345690121,0.90865664052943,0.000198412698412698,0.817635132038453,-1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,3.94430452610506e-31,0.0057754649893136
99.5822427863551,0.999621938168567,0.000198412698412698,0.819623050559684,1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,0.309706836938858,11.1217294081419
99.5822427863551,0.999621938168567,0.000198412698412698,0.819623050559684,-1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,0.0519937574863434,1.89610162052052
112.32887539794,1.03761449586625,0.000198412698412698,0.211652771876403,1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.526021778583527,9.02910885199522
112.32887539794,1.03761449586625,0.000198412698412698,0.211652771876403,-1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.299735188484192,4.39151465771704
100.258231941524,0.892623970344803,0.000198412698412698,0.343660485718081,1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,0.697947800159454,21.3069549505592
100.258231941524,0.892623970344803,0.000198412698412698,0.343660485718081,-1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,3.94430452610506e-31,0.00662692022290751
87.0239129164999,1.06228028441965,0.000198412698412698,0.267093106289298,1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.387836277484894,4.76770889160507
87.0239129164999,1.06228028441965,0.000198412698412698,0.267093106289298,-1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.425077497959137,5.41987404775064
103.00748576648,1.07665789856152,0.000198412698412698,0.169828726486328,1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,0.447558104991913,4.50667086807057
103.00748576648,1.07665789856152,0.000198412698412698,0.169828726486328,-1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,0.652010798454285,7.89633739496364
106.358705851455,0.821637899979046,0.000198412698412698,0.152189621445926,1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,1,30.1487202763691
106.358705851455,0.821637899979046,0.000198412698412698,0.152189621445926,-1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,3.94430452610506e-31,0
106.512330455677,1.16672899567734,0.000198412698412698,0.26762986913174,1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,0.23484218120575,0.669476846311861
106.512330455677,1.16672899567734,0.000198412698412698,0.26762986913174,-1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,1,17.7586938841276
105.389741908544,1.19818438622558,0.000198412698412698,0.927270663900604,1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.130269289016724,0.475899355682926
105.389741908544,1.19818438622558,0.000198412698412698,0.927270663900604,-1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.694330930709839,20.8866013146172
94.2838517040503,1.19434821474306,0.000198412698412698,0.127241783659318,1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,0.325504541397095,0.315363404024141
94.2838517040503,1.19434821474306,0.000198412698412698,0.127241783659318,-1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,1,18.3238982577819
104.706345690121,1.07669965601769,0.000198412698412698,0.300513801540989,1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.336336702108383,4.57793587271044
104.706345690121,1.07669965601769,0.000198412698412698,0.300513801540989,-1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.490364551544189,8.03094069730167
99.5822427863551,1.15391318874354,0.000198412698412698,0.736053721717914,1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,0.204565495252609,2.17159757465095
99.5822427863551,1.15391318874354,0.000198412698412698,0.736053721717914,-1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,0.612458407878876,15.3270205294814
112.32887539794,1.1534586279077,0.000198412698412698,0.585201810754752,1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.222487598657608,2.27744722932878
112.32887539794,1.1534586279077,0.000198412698412698,0.585201810754752,-1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.684986799955368,17.2378350929832
100.258231941524,1.00728768939185,0.000198412698412698,0.737687885027349,1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,0.305261135101318,10.1343827461144
100.258231941524,1.00728768939185,0.000198412698412698,0.737687885027349,-1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,0.0467857122421265,1.27734153473972
87.0239129164999,1.07823925884515,0.000198412698412698,0.35081097372023,1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.314813673496246,3.83231754520301
87.0239129164999,1.07823925884515,0.000198412698412698,0.35081097372023,-1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.462654709815979,6.80868644839217
103.00748576648,1.17553603284323,0.000198412698412698,0.351708623198251,1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,0.205860137939453,0.572338144835446
103.00748576648,1.17553603284323,0.000198412698412698,0.351708623198251,-1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,1,18.0815254046032
106.358705851455,1.14585764936596,0.000198412698412698,0.199750519020243,1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,0.317272901535034,1.43493994895845
106.358705851455,1.14585764936596,0.000198412698412698,0.199750519020243,-1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,1,15.5132308250985
106.512330455677,0.823626470333723,0.000198412698412698,0.40448451150372,1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,0.786838233470917,29.9783212880627
106.512330455677,0.823626470333723,0.000198412698412698,0.40448451150372,-1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,3.94430452610506e-31,0
105.389741908544,1.09584669493635,0.000198412698412698,0.911631264280504,1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.185918599367142,3.76285946416422
105.389741908544,1.09584669493635,0.000198412698412698,0.911631264280504,-1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.349181890487671,10.1012584421288
94.2838517040503,1.14936868689488,0.000198412698412698,0.136856127221401,1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,0.362574458122253,1.03916995390241
94.2838517040503,1.14936868689488,0.000198412698412698,0.136856127221401,-1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,1,14.0830551244252
104.706345690121,0.885569444152904,0.000198412698412698,0.709503264310088,1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.496077299118042,22.9791692919102
104.706345690121,0.885569444152904,0.000198412698412698,0.709503264310088,-1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,3.94430452610506e-31,0
99.5822427863551,1.10385951141511,0.000198412698412698,0.246811484167419,1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,0.402951002120972,4.16111583232871
99.5822427863551,1.10385951141511,0.000198412698412698,0.246811484167419,-1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,0.725565075874329,10.3425630814115
112.32887539794,1.15142966527185,0.000198412698412698,0.419910358561367,1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.26413893699646,2.34856543422325
112.32887539794,1.15142966527185,0.000198412698412698,0.419910358561367,-1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.79855865240097,17.0099240018732
100.258231941524,0.804230109441209,0.000198412698412698,0.935337334350068,1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,0.544930577278137,30.1650219157872
100.258231941524,0.804230109441209,0.000198412698412698,0.935337334350068,-1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,3.94430452610506e-31,0
87.0239129164999,1.17641354348496,0.000198412698412698,0.642608053331209,1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.158348798751831,0.560524759977676
87.0239129164999,1.17641354348496,0.000198412698412698,0.642608053331209,-1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.74618735909462,15.3521968455264
103.00748576648,0.896853569045461,0.000198412698412698,0.812079010193891,1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,0.447198063135147,21.4442156277583
103.00748576648,0.896853569045461,0.000198412698412698,0.812079010193891,-1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,3.94430452610506e-31,0
106.358705851455,1.00954756621673,0.000198412698412698,0.980221104941999,1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,0.260433316230774,10.4640394260016
106.358705851455,1.00954756621673,0.000198412698412698,0.980221104941999,-1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,0.0432148873806,1.36624562562939
106.512330455677,0.835115402590939,0.000198412698412698,0.372460593764742,1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,0.794458150863647,28.7548891761793
106.512330455677,0.835115402590939,0.000198412698412698,0.372460593764742,-1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,3.94430452610506e-31,0
105.389741908544,1.09875682452485,0.000198412698412698,0.229747970028725,1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.366799712181091,3.60428016486648
105.389741908544,1.09875682452485,0.000198412698412698,0.229747970028725,-1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.716247379779816,10.4079562483811
94.2838517040503,0.965907949264395,0.000198412698412698,0.687054660280483,1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,0.376153200864792,13.1515628563962
94.2838517040503,0.965907949264395,0.000198412698412698,0.687054660280483,-1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,3.94430452610506e-31,0.0801426243223173
104.706345690121,1.00235018733073,0.000198412698412698,0.37482755740361,1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.433152377605438,10.9342497645392
104.706345690121,1.00235018733073,0.000198412698412698,0.37482755740361,-1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.038296103477478,0.865017245414902
99.5822427863551,1.08437749089154,0.000198412698412698,0.226101574420976,1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,0.446034014225006,5.16847746310105
99.5822427863551,1.08437749089154,0.000198412698412698,0.226101574420976,-1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,0.620042622089386,8.40249978366525
112.32887539794,1.01541757672758,0.000198412698412698,0.40418010682505,1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.412866055965424,10.9599828575184
112.32887539794,1.01541757672758,0.000198412698412698,0.40418010682505,-1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.12534636259079,2.7938668864996
100.258231941524,0.809577763831075,0.000198412698412698,0.558852821466672,1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,0.69531586766243,29.6311887290169
100.258231941524,0.809577763831075,0.000198412698412698,0.558852821466672,-1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,3.94430452610506e-31,0
87.0239129164999,1.10886458461914,0.000198412698412698,0.967353138927257,1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.165402889251709,2.36499717227922
87.0239129164999,1.10886458461914,0.000198412698412698,0.967353138927257,-1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.383448541164398,9.47382213158669
103.00748576648,0.808119727858078,0.000198412698412698,0.671230356945436,1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,0.636493861675262,30.583851082501
103.00748576648,0.808119727858078,0.000198412698412698,0.671230356945436,-1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,3.94430452610506e-31,0
106.358705851455,0.861393037267237,0.000198412698412698,0.567233521699165,1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,0.59709444642067,25.9184070891782
106.358705851455,0.861393037267237,0.000198412698412698,0.567233521699165,-1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,3.94430452610506e-31,0
106.512330455677,1.12363052803419,0.000198412698412698,0.644708043812415,1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,0.180153131484985,1.93051545064445
106.512330455677,1.12363052803419,0.000198412698412698,0.644708043812415,-1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,0.531442642211914,13.1681756563879
105.389741908544,0.883665212443769,0.000198412698412698,0.47352334053211,1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.61132949590683,23.3398252896004
105.389741908544,0.883665212443769,0.000198412698412698,0.47352334053211,-1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,3.94430452610506e-31,0.00236790770512877
94.2838517040503,1.15076936683191,0.000198412698412698,0.993101823746147,1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,0.133790493011475,1.00646774179755
94.2838517040503,1.15076936683191,0.000198412698412698,0.993101823746147,-1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,0.517028748989105,14.2151166238934
104.706345690121,1.00909784231191,0.000198412698412698,0.873087178671176,1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.274758562445641,10.2751819170718
104.706345690121,1.00909784231191,0.000198412698412698,0.873087178671176,-1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.0417644381523132,1.21004906804725
99.5822427863551,0.847888994052277,0.000198412698412698,0.403996229574058,1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,0.733857214450836,25.5708789868656
99.5822427863551,0.847888994052277,0.000198412698412698,0.403996229574058,-1,1.31942421591918e-06,0.840379769666971,7.30021534180471e-07,99.1796711265634,0.364501540770117,3.94430452610506e-31,0.00172229913941592
112.32887539794,1.05319285970865,0.000198412698412698,0.573905924727235,1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.302917420864105,7.79429698680562
112.32887539794,1.05319285970865,0.000198412698412698,0.573905924727235,-1,1.28044436104791e-06,0.842549161513356,6.68763586382596e-07,65.3631393545417,0.292703523856149,0.248714089393616,5.97509411027276
100.258231941524,1.01151988116469,0.000198412698412698,0.373982029122766,1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,0.420882970094681,9.75280442313717
100.258231941524,1.01151988116469,0.000198412698412698,0.373982029122766,-1,1.34711576462592e-06,0.799248456196515,5.36868772160575e-07,103.412037312302,0.559236484295976,0.0824501216411591,1.5032442068472
87.0239129164999,0.833580899995156,0.000198412698412698,0.708987141303532,1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,0.578139007091522,23.62624982988
87.0239129164999,0.833580899995156,0.000198412698412698,0.708987141303532,-1,1.25144792009248e-06,0.757301363318879,7.88514330376301e-07,98.3019648697959,0.267489733388374,3.94430452610506e-31,0
103.00748576648,1.1789469774299,0.000198412698412698,0.705649274060366,1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,0.142968833446503,0.515507932113606
103.00748576648,1.1789469774299,0.000198412698412698,0.705649274060366,-1,1.21168899952976e-06,0.777459184795017,3.63050478627548e-07,144.123037800585,0.363499817631062,0.721811890602112,18.4328782305654
106.358705851455,1.17984310412241,0.000198412698412698,0.779561137834339,1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,0.143289119005203,0.641256992310938
106.358705851455,1.17984310412241,0.000198412698412698,0.779561137834339,-1,1.23766695599169e-06,0.796587330510762,3.81556863624076e-07,136.136801395288,0.422444501277765,0.690009206533432,19.1278798107683
106.512330455677,1.02257011491591,0.000198412698412698,0.869146600826955,1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,0.256866365671158,9.08792593220757
106.512330455677,1.02257011491591,0.000198412698412698,0.869146600826955,-1,1.26612541598202e-06,0.758021613486526,4.17610825706184e-07,83.3842106170755,0.536360878646647,0.0866682529449463,2.4039955383455
105.389741908544,1.19511023485976,0.000198412698412698,0.384605440011305,1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,0.204078316688538,0.516270518650438
105.389741908544,1.19511023485976,0.000198412698412698,0.384605440011305,-1,1.2137572435786e-06,0.783345681019461,8.18909145100611e-07,110.051244481391,0.239377625509813,1,20.5626172955854
94.2838517040503,1.16818551992897,0.000198412698412698,0.306039024425724,1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,0.226280629634857,0.648464997375333
94.2838517040503,1.16818551992897,0.000198412698412698,0.306039024425724,-1,1.30654208945752e-06,0.784615451629301,3.43277326762611e-07,73.8538007380328,0.538574375157897,1,15.8571786197516
104.706345690121,1.00030880242126,0.000198412698412698,0.148133964472751,1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.695721983909607,11.1338330344495
104.706345690121,1.00030880242126,0.000198412698412698,0.148133964472751,-1,1.26878445051713e-06,0.773336842508449,3.45497827738281e-07,139.105875318675,0.405036678286186,0.0494402647018433,0.78015290831241
