N,True_Variance,Calib_Variance,Init_Variance
30,8.387768413359174e-07,2.2851284259582437e-06,5.947210764455736e-06
60,6.979700544367662e-07,2.3343745648809533e-06,5.971681897146761e-06
120,6.639503682977602e-07,2.3853913323714383e-06,6.015877586968263e-06
252,6.5798817861437e-07,2.4445809214687743e-06,6.110772278855905e-06
512,6.587161350092271e-07,2.4743273502122e-06,6.110424556194532e-06
1024,6.547456530447604e-07,2.473304034566307e-06,6.130650961140491e-06
