N,True_Skewness,Calib_Skewness,Init_Skewness
30,-5.199729459041412,0.3002717480975524,0.15115485601615578
60,-7.551145616839186,0.2293937571838355,0.09072601980749989
120,-10.817177480120884,0.1949283565864861,0.04511881489210137
252,-15.779954005898025,0.13296454680861416,0.02880473612013213
512,-22.561137812531484,0.075677351761928,0.009528866446675721
1024,-31.953152719859993,0.04126318425389735,0.0043778552326775785
