N,True_Mean,Calib_Mean,Init_Mean
30,0.0016111111111111111,0.007496581125793707,0.003028629714654922
60,0.0008194444444444445,0.00855317047701824,0.002537963761007582
120,0.00041319444444444444,0.010707439033787298,0.00235013500955292
252,0.00019762534643487026,0.012626573963738928,0.0022505346461184875
512,9.746551513671877e-05,0.013937074693538946,0.0022263492358035116
1024,4.878044128417969e-05,0.014642431558934283,0.0022022243039124052
