Time Horizon (T),mean (Abs Err Calib),mean (Abs Err Init),variance (Abs Err Calib),variance (Abs Err Init),skewness (Abs Err Calib),skewness (Abs Err Init),kurtosis (Abs Err Calib),kurtosis (Abs Err Init)
10,0.006937085447219715,0.014248522043430967,1.0853647425219037,0.6776385998098249,0.006484130521299786,0.0056413177831368955,0.01143298331664755,0.009674460325392209
50,0.08335250816770667,0.17163177713325695,83.82033206062624,1.408279993920587,0.004277369101504114,0.0034775574494719796,0.01599147273805457,0.013248623370331725
100,0.8935256312283855,1.3982287050121158,18238.57009800151,11288.67296205461,0.007037253584500913,0.006180036791953336,0.03852704391783668,0.033429705889205685
252,1479.639549351763,2744.775872003287,156599405077.85156,174608728324.5547,0.019898354507691618,0.016930461528726237,0.18960228526776568,0.15928585305375442
365,196916.07307481766,454127.2597435117,1.0668872734465536e+16,1.1349857449858304e+16,0.03219343591584467,0.02763202074176574,0.3804600645194469,0.3231488854402862
512,202720165.1914673,486423173.25006104,2.3997035963688388e+22,2.408622558383294e+22,0.04872493872482142,0.041624833159009,0.6893013223328914,0.5832353773423549
