,mean,mean,mean,variance,variance,variance,skewness,skewness,skewness,kurtosis,kurtosis,kurtosis
Parameter Set,Calibrated,Initial,True,Calibrated,Initial,True,Calibrated,Initial,True,Calibrated,Initial,True
Time Horizon (T),,,,,,,,,,,,
10,130.05304347496235,130.02689722577816,130.04306109926233,423.86485431864173,420.8853041019877,422.3582843394405,0.19498069952120045,0.18482991442775892,0.1892471505060918,-1.1649180235416545,-1.1835806161386655,-1.1753731501580624
50,451.97128686382996,451.6263616751345,451.8409918985413,100629.28378615728,100107.8737188619,100390.61084567396,0.8557950403980243,0.84763104244432,0.8514513857109106,-0.3839716668174109,-0.4130290513291621,-0.3995889987600889
100,2998.5235631962078,2994.0486391600766,2996.8856270624206,14048089.914589055,13959917.947642336,14007557.099797344,1.5511927561016796,1.539526123728904,1.5447455102510956,1.479724026564294,1.4142877894954813,1.4437777780656527
252,2403707.269475556,2402285.4360975763,2403560.0887492085,30953489082000.805,30730874977857.203,30849460821906.496,2.9930250014881263,2.9600046023875364,2.9752522454708576,8.87558028626153,8.560881144914498,8.70582157591939
365,472236717.5529178,472163684.1510028,472330248.25964797,1.8354355343859656e+18,1.8178483699123597e+18,1.8271916692074025e+18,3.763393083605715,3.706310910112166,3.7329607178002244,14.813394879414709,14.15024191010999,14.457171466720254
512,525087720908.65216,524485529866.84924,524964844406.6141,3.3018111173329083e+24,3.254537217261069e+24,3.278680476667244e+24,4.591141684776403,4.499999689755114,4.541810962846896,22.763686316360147,21.47824818574288,22.06299898013123
