N,X_True_1,X_True_2,X_True_3,X_True_4,X_Calib_1,X_Calib_2,X_Calib_3,X_Calib_4,X_Init_1,X_Init_2,X_Init_3,X_Init_4,Rel_Err_Cal_1,Rel_Err_Cal_2,Rel_Err_Cal_3,Rel_Err_Cal_4,Rel_Err_Init_1,Rel_Err_Init_2,Rel_Err_Init_3,Rel_Err_Init_4
30,0.00162131868484003,1.15422631451968e-05,0.0357308829546705,3.248975179034,0.00163327066876704,2.32706122351963e-05,0.0449613399995575,3.18639319407142,0.00161637924732777,1.25537745767196e-06,0.139731265346794,7.57759846616754,0.00737176721564199,1.01612213674752,0.258332744158522,0.0192620692723134,0.00304655559604028,0.891236454941301,2.91065805801839,1.33230420320433
60,0.000813193051951363,1.15062377376018e-05,-0.000368378826055208,3.28124918038071,0.000829078616470082,2.34376702139913e-05,0.0049909080360262,3.19559539282132,0.000824568975208171,1.27920326651975e-06,0.123878313344855,8.33736330559595,0.0195348010913271,1.03695341157417,14.5483032221788,0.0261040179671621,0.01398920370693,0.888825235868421,337.279678914796,1.54091135639647
120,0.000415737595277455,1.14200189444804e-05,0.00310522659729465,3.2330608818319,0.000398848605351608,2.35188809885154e-05,0.00428129951253772,3.14439181779995,0.000416245292389921,1.23857739174982e-06,-0.0543399668003357,7.96504090402713,0.0406241584059166,1.05944325511672,0.378739804775501,0.0274257328497043,0.00122119605788333,0.891543315490869,18.4995173774687,1.46362230565668
252,0.000206573273941966,1.15806271664023e-05,0.00389160628918865,3.24470702393751,0.000198339555363136,2.38316608030196e-05,0.0131508494712241,3.09648437729348,0.000198183026975512,1.24433505283077e-06,0.0151613582669245,7.86727538547917,0.0398585858746799,1.05789034225712,2.37928569695212,0.0456813652359155,0.0406163237206135,0.892550288084497,2.89591267468256,1.424648921286
512,9.97834525094593e-05,1.16067274495401e-05,0.003234723742021,3.2177810684476,9.73979736917454e-05,2.38118737698078e-05,0.0022166719814427,3.09175172758582,9.80661748614526e-05,1.2629139203039e-06,0.000466208945208265,8.1694794486697,0.0239065572268891,1.05155793252914,0.314726029723402,0.0391665368715056,0.017210044399335,0.891191214251013,0.855873644122392,1.53885496710036
