ticker,period,strategy,alpha,beta,omega,gamma,lambda,sigma_eps,alpha_init,beta_init,omega_init,gamma_init,lambda_init,two_norm_error,aic,bic,aic_init,bic_init,loss,loss_init,calibration_time_sec,n_options,n_returns,status,error
ADI,Period2,best1bin,1.47264244695472E-06,0.985169261884719,9.79266930504507E-06,0.260390191406108,0.33042990361399,0.299992649978613,0.0000015,0.99,0.00001,0.25,0.3,1.0712354772147,-18.5109347149047,13.6819792392669,,,1552640.14221352,-2648.03979152143,696.99498796463,4622,852,ok,
ADI,Period3,best1bin,1.43399862211559E-06,0.989432594152986,8.70554180396893E-06,0.252647774262413,0.315870824894307,0.299986348193404,0.0000015,0.735664864835913,0.00001,0.25,0.3,1.06891633644047,-18.1479561165122,13.2695145143003,-5.08334452473097,21.9243934985114,1294944.06386484,5123.905715931,525.327961206436,3958,666,ok,
ADSK,Period1,best1bin,1.24026082463072E-06,0.989657076474065,9.30963066935973E-06,0.35349792844905,0.477197438620505,0.299997581663152,0.0000015,0.927055873173721,0.00001,0.25,0.3,1.15416606688429,-17.1290038168251,11.4799550672625,-3.63083281285159,17.5931727892596,778015.642043334,2478.51880932153,414.98918056488,2257,254,ok,
ADSK,Period2,best1bin,1.27973471992107E-06,0.989541072126194,9.93125200129266E-06,0.260772350917059,0.316094468347884,0.299999339203354,0.0000015,0.99,0.00000001,0.25,0.3,1.07103196285072,-18.363426801349,17.1764500251418,-10.665653308558,18.6841020737555,1442247.7624307,83518.7681861798,1305.95385313034,9027,984,ok,
ADSK,Period3,best1bin,1.40967669278459E-06,0.989461425345174,8.05454522960331E-06,0.301851255712987,0.539240996388453,0.299989315923367,0.0000015,0.787756939155907,0.00001,0.25,0.3,1.16658859289575,-20.0094686348826,12.1704470450709,-4.72781226844442,22.4836353576375,3284530.6318058,4289.41712426844,626.168855190277,4610,689,ok,
AFL,Period1,best1bin,0.0000015,0.732988928887413,0.00001,0.25,0.3,0.1,0.0000015,0.732988928887413,0.00001,0.25,0.3,0.830525598626416,,,,,,,7172.17873454094,2184,284,ok,
AFL,Period2,best1bin,1.15319943974619E-06,0.977923233934717,9.75654426156982E-06,0.321865797813244,0.363165827787052,0.29999884484235,0.0000015,0.980834672556298,1.20128022427683E-06,0.25,0.3,1.09170548310433,-19.5913153679276,14.9345495579893,,,2664848.2815561,-1674.47428959855,1009.59985303879,7370,933,ok,
AFL,Period3,best1bin,1.36855356325393E-06,0.988780296020148,8.5227500930609E-06,0.310461292178389,0.302665680959684,0.29999651457717,0.0000015,0.5,0.00001,0.25,0.3,1.0796662457649,-16.4755447475765,11.4049419555391,-6.66909302105324,18.4727994140656,561166.186798154,11322.4924716298,358.158567428589,1951,488,ok,
AIG,Period1,best1bin,0.0000015,0.932495374666512,0.00001,0.25,0.3,0.1,0.0000015,0.932495374666512,0.00001,0.25,0.3,1.01096371046477,,,,,,,22891.480193615,6427,300,ok,
AIG,Period2,best1bin,1.22265577091279E-06,0.987137280823774,1.02538829723095E-06,0.308192266579346,0.30146237877856,0.299973800758042,0.0000015,0.974404691354502,1.90553749888312E-06,0.25,0.3,1.07717317558174,-24.0565980942402,14.9131602330989,,,24848278.8644447,-3058.44160005708,2230.78687143326,17925,1573,ok,
AIG,Period3,best1bin,1.11395748183862E-06,0.985284563606351,8.68320732219525E-06,0.397392870939741,0.306412987215295,0.299994698044489,0.0000015,0.540496406162399,0.00001,0.25,0.3,1.10571048831307,-18.0443308947361,14.1669396290226,-7.30809412852602,19.9640038334805,1229558.1649999,15584.7330633657,659.804993391037,4639,696,ok,
ALL,Period1,best1bin,1.26247717370921E-06,0.989843440170255,7.19191944712939E-06,0.312370045267361,0.457460558940538,0.299999409365977,0.0000015,0.7820366381766,0.00001,0.25,0.3,1.13429945088055,-19.7581156507564,10.0557040000842,-6.51348435396768,14.8736380899685,2896627.9002704,10474.9521523362,408.10999917984,2872,261,ok,
ALL,Period2,best1bin,1.24965619712202E-06,0.984726779759916,9.94344852386499E-06,0.283876126949437,0.303106244338156,0.299994009206924,0.000001,0.99,5.87865757544233E-06,0.25,0.3,1.06871225392309,-18.2827122505133,13.9511413850852,,,1385201.43194604,-2125.26620105238,672.494290113449,4660,651,ok,
ALL,Period3,best1bin,1.13977937909443E-06,0.989511786743665,9.75255965812238E-06,0.493520753310545,0.388303983424913,0.299996670672553,0.000001,0.953232525593159,0.00001,0.25,0.3,1.17195404930949,-15.9998250091155,11.6525749671122,,,442374.684546923,-302.032730791992,281.560450077057,1864,264,ok,
