Time Horizon (T),mean (Calib - True),mean (Init - True),variance (Calib - True),variance (Init - True),skewness (Calib - True),skewness (Init - True),kurtosis (Calib - True),kurtosis (Init - True)
10,0.0020938584862335574,0.022975124476147357,-0.12436948605227371,-0.8261249464936213,-0.0009241727514263665,-0.007242981452524777,-0.0015814818324828561,-0.011533106452497055
50,-0.011069405991918302,-0.08955953936538208,-29.0904005166376,-222.8337307324109,-0.0005733935364578002,-0.004017420770849323,-0.0020264607685458458,-0.014013888644901051
100,0.06902266482120467,1.625847478014748,-1808.8484395816922,3960.4557248149067,-0.0008129312088160923,-0.0051970092686133285,-0.004651395823444204,-0.030792426056655664
252,289.84851072495803,4037.6033757608384,-6696916049.25,6296931394.5625,-0.002467386446681985,-0.017041992807838025,-0.023398943173440045,-0.1615887351724581
365,78255.00698053837,1003280.4472829103,-536083028716544.0,-353777789332992.0,-0.004003538257672634,-0.02831865217213414,-0.04674996909749396,-0.3298625819780696
512,70734184.49053955,897580782.760315,-1.8608799704012848e+21,-8.338292031467456e+21,-0.006186346664286191,-0.044031753031466,-0.08658735183913535,-0.612540205498707
