N,True_Kurtosis,Calib_Kurtosis,Init_Kurtosis
30,3.0583896724858675,2.9145375776390643,2.9567526497098893
60,2.9134223376911876,3.014179272832526,3.019118232511171
120,2.9961552772191076,2.997572363947185,3.015339821160836
252,2.9875277625584986,3.027139576180443,3.0323041045157817
512,3.013008461232482,3.0134281940177448,3.007385254576386
1024,3.0083563732834424,2.9997397580390524,3.0139614676670488
