S0,m,r,T,corp,omega,alpha,beta,theta,lambda,sigma,V
104.837644644597,0.966808801881029,0.05,0.748292044097942,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,3.47968703372504
104.837644644597,0.966808801881029,0.05,0.748292044097942,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,0.974397960856802,0.05,0.123333608645102,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,2.6840574818717
104.837644644597,0.974397960856802,0.05,0.123333608645102,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,1.02031916102983,0.05,0.737333040356294,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,1.02031916102983,0.05,0.737333040356294,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,2.13021298352167
104.837644644597,1.18681193560547,0.05,0.59250902425815,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,1.18681193560547,0.05,0.59250902425815,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,19.5849233203756
104.837644644597,0.888797268435896,0.05,0.883659075559639,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,11.6582324552261
104.837644644597,0.888797268435896,0.05,0.883659075559639,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,1.1571440605744,0.05,0.39878182477106,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,1.1571440605744,0.05,0.39878182477106,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,16.474613180508
104.837644644597,0.830523315749583,0.05,0.801926913016103,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,17.7675363989898
104.837644644597,0.830523315749583,0.05,0.801926913016103,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,1.14937176111673,0.05,0.971686596538839,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,1.14937176111673,0.05,0.971686596538839,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,15.659783611893
104.837644644597,0.80414966155428,0.05,0.551687132933865,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,20.5324881854964
104.837644644597,0.80414966155428,0.05,0.551687132933865,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,1.1085282573067,0.05,0.118676754423461,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.837644644597,1.1085282573067,0.05,0.118676754423461,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,11.377846873417
104.942641836006,0.872107875550708,0.05,0.117527717338862,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,13.421337409728
104.942641836006,0.872107875550708,0.05,0.117527717338862,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,0.861665136951869,0.05,0.766044726863864,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,14.517225986293
104.942641836006,0.861665136951869,0.05,0.766044726863864,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,1.11108096422953,0.05,0.313787098031421,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,1.11108096422953,0.05,0.313787098031421,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,11.6571298439376
104.942641836006,1.00557733750908,0.05,0.795848546871367,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,1.00557733750908,0.05,0.795848546871367,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0.585300532613502
104.942641836006,1.13952707890743,0.05,0.261006332428899,1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,0
104.942641836006,1.13952707890743,0.05,0.261006332428899,-1,3.60601720402795e-07,1.00653602681063e-06,0.849534524596838,0.25012965864948,0.300206249596249,0.0001,14.6423402682068
