Variant,Split,Mean Loss,Correlation,95th Percentile,99th Percentile,Min Loss,Max Loss
no_dlayer,In-Sample,5.420059687819559e-07,0.9999115517469869,1.424441938979727e-06,2.860758802398786e-06,6.167486787944654e-08,7.43744885767228e-06
no_dlayer,Out-of-Sample,5.803407508523937e-07,0.999910481505824,1.7168933823086261e-06,2.9222341117929303e-06,7.454906381099136e-08,6.186059636092978e-06
dlayer,In-Sample,1.2867568393283167e-06,0.999790055050507,3.414750619867847e-06,8.907790424927953e-06,1.564508949059018e-07,3.301805554656312e-05
dlayer,Out-of-Sample,1.3690195042155372e-06,0.9997883184525108,3.6478213132795634e-06,9.015373398142398e-06,1.5555409049738955e-07,2.6352594431955367e-05
