Variant,Split,Mean Loss,Correlation,95th Percentile,99th Percentile,Min Loss,Max Loss
no_dlayer,In-Sample,4.537367394842721e-07,0.9998860211999631,1.3199654290474424e-06,1.8639990730662244e-06,8.59986499790466e-08,3.4545214475656394e-06
no_dlayer,Out-of-Sample,5.354898870003744e-07,0.9998722958198469,1.6315322682203259e-06,2.461176525230257e-06,7.083907860305771e-08,3.4144127312174533e-06
dlayer,In-Sample,4.0093436805381004e-07,0.999899320424449,7.647355261042321e-07,1.094885585644078e-06,8.772542514634551e-08,1.7251459212275222e-06
dlayer,Out-of-Sample,4.2110733922129384e-07,0.9998993271597003,9.056859852307752e-07,1.1383644425677617e-06,9.50749594608169e-08,1.552487219669274e-06
