Variant,Split,Mean Loss,Correlation,95th Percentile,99th Percentile,Min Loss,Max Loss
no_dlayer,In-Sample,2.1196189691726394e-07,0.9999641356759523,5.817733864432717e-07,1.5579226669615308e-06,1.588367481986097e-08,2.8093031687603798e-06
no_dlayer,Out-of-Sample,1.9864105633801096e-07,0.9999642673446993,6.032765355712397e-07,1.2704474727343062e-06,2.0890787766347785e-08,2.123750391547219e-06
dlayer,In-Sample,2.562493749487989e-07,0.9999566453581423,8.07086738063844e-07,1.3027951115418542e-06,2.8282594044526377e-08,1.9974709175585303e-06
dlayer,Out-of-Sample,2.533050468894979e-07,0.999954287851714,7.414464192834201e-07,1.0606792773160136e-06,3.798906433871707e-08,1.389142425978207e-06
