Variant,Split,Mean Loss,Correlation,95th Percentile,99th Percentile,Min Loss,Max Loss
no_dlayer,In-Sample,1.4092943586636387e-06,0.99976252773775,3.5102731317238067e-06,6.194020606926635e-06,2.3034726837067865e-07,1.70393268490443e-05
no_dlayer,Out-of-Sample,1.4632105800420438e-06,0.999744844034976,3.5170538808415575e-06,7.825778320693649e-06,2.0767704711488477e-07,1.3175434105505701e-05
dlayer,In-Sample,1.1584342573269387e-06,0.9998049947723284,2.2562621325050702e-06,3.511342160891212e-06,2.4318919145116524e-07,6.36521235719556e-06
dlayer,Out-of-Sample,1.2498587236739119e-06,0.9997822825093164,2.3834149715185037e-06,5.170384420125643e-06,2.911617684731027e-07,1.0697769539547153e-05
