Row,True_variance,Calib_variance,Init_variance
30,1.14602286516937e-05,2.31555637682046e-05,1.2955391111249e-06
60,1.14163844170331e-05,2.35841510032765e-05,1.27353821743636e-06
120,1.16392065770024e-05,2.39910746842781e-05,1.2318808536131e-06
252,1.1527756454161e-05,2.3636184243393e-05,1.24326279361769e-06
512,1.16914456819714e-05,2.38468035720703e-05,1.25525311989612e-06
1024,1.16156962324129e-05,2.38249387790966e-05,1.2557212364956e-06
