Row,True_variance,Calib_variance,Init_variance
30,1.14250360651843e-05,1.49539118671985e-05,1.27147376866179e-06
60,1.1592075437329e-05,1.52151700263189e-05,1.25380266701269e-06
120,1.16545152257527e-05,1.53365954842798e-05,1.25666791852312e-06
252,1.16843665959793e-05,1.53291206016929e-05,1.24582949776455e-06
512,1.16049732046274e-05,1.53719701637145e-05,1.24843818256085e-06
1024,1.16568275775935e-05,1.54035149201435e-05,1.25595564698603e-06
