Row,True_variance,Calib_variance,Init_variance
30,1.14112416505773e-05,9.581446079677e-05,1.30740918244185e-06
60,1.13669128296567e-05,9.70138224140172e-05,1.24088325649993e-06
120,1.15773909951572e-05,9.88720660790242e-05,1.25599549683882e-06
252,1.17068152699551e-05,9.84496446483032e-05,1.23342942563913e-06
512,1.16673234870423e-05,9.91120461055523e-05,1.23724079777936e-06
1024,1.16649851923687e-05,9.92284540587475e-05,1.25526922916877e-06
