Row,True_variance,Calib_variance,Init_variance
30,1.120289282432e-05,9.61820216534915e-05,1.28020021896558e-06
60,1.15403937653193e-05,9.80726174903906e-05,1.24328430034968e-06
120,1.15006759181242e-05,9.86936694335654e-05,1.237722070488e-06
252,1.15361008678e-05,9.89577023211418e-05,1.25560091837117e-06
512,1.16654992618979e-05,9.907215068187e-05,1.26163824032953e-06
1024,1.16354215070272e-05,9.9525134287536e-05,1.24556223121183e-06
