Row,True_variance,Calib_variance,Init_variance
30,1.14236570620965e-05,9.51971757383553e-05,1.29625471924231e-06
60,1.13844836730924e-05,9.66414863354252e-05,1.24569303524711e-06
120,1.15033722636557e-05,9.93556749300871e-05,1.23408761771946e-06
252,1.16390291138055e-05,9.87331975092338e-05,1.23266903993665e-06
512,1.16351831776634e-05,9.93212815117457e-05,1.25513692647158e-06
1024,1.16186993407133e-05,9.92674052617866e-05,1.25490311362697e-06
