Row,True_kurtosis,Calib_kurtosis,Init_kurtosis
30,3.31985724660569,3.08683651330968,6.72005714942599
60,3.29307926462188,3.03415657070841,7.61768710139107
120,3.2711406329226,2.99643065115451,7.80476579228889
252,3.19655218480429,3.02019079396032,7.99980320652002
512,3.22025704946892,3.0150284996591,8.13043338279279
1024,3.21439895292706,3.00289365605467,8.15699988837243
