Row,True_variance,Calib_variance,Init_variance
30,1.14084774890329e-05,9.61190609110837e-05,1.29170840411817e-06
60,1.14614697241068e-05,9.70455467642005e-05,1.24954251517861e-06
120,1.14435985205981e-05,9.95376741734506e-05,1.23705288626475e-06
252,1.16129832912492e-05,9.88648739418938e-05,1.24428957484643e-06
512,1.17254579616094e-05,9.91764609523523e-05,1.25398274533392e-06
1024,1.16485052237906e-05,9.93101917584576e-05,1.25104333438602e-06
