Row,True_variance,Calib_variance,Init_variance
30,1.13047166732544e-05,9.61185712355566e-05,1.33347118863643e-06
60,1.15355822754619e-05,9.71276702294147e-05,1.23971949346247e-06
120,1.15148051699374e-05,9.84815422311573e-05,1.24475945836599e-06
252,1.16128508527583e-05,9.91813031061548e-05,1.24410194499466e-06
512,1.16616220464373e-05,9.93036474781947e-05,1.25589919700151e-06
1024,1.16116121934221e-05,9.92632982080161e-05,1.25891020871194e-06
