Variant,Split,Mean Loss,Correlation,95th Percentile,99th Percentile,Min Loss,Max Loss
no_dlayer,In-Sample,1.9069689730718171e-07,0.9999677231764591,4.6370141717488854e-07,9.808845595671296e-07,2.5334930597864513e-08,2.3139161839935696e-06
no_dlayer,Out-of-Sample,1.778910143828042e-07,0.9999680096194393,4.6165119869101516e-07,6.508571584618042e-07,2.9458231409762448e-08,1.0100122835865477e-06
dlayer,In-Sample,1.1428282054914974e-07,0.9999806689436396,3.0985204659828e-07,6.900045190150184e-07,1.132142202209252e-08,2.264889417347149e-06
dlayer,Out-of-Sample,1.0484039900409109e-07,0.9999811407114755,3.2721392670964614e-07,5.812752237943645e-07,1.20792353897059e-08,8.825406894175103e-07
